x-axis,FFT
Hertz,decibel
+355.513E+00,-108.537764E+00
+357.414E+00,-114.211107E+00
+359.316E+00,-118.705338E+00
+361.217E+00,-114.177803E+00
+363.118E+00,-110.434362E+00
+365.019E+00,-105.360072E+00
+366.920E+00,-109.877852E+00
+368.821E+00,-114.089964E+00
+370.722E+00,-109.387874E+00
+372.624E+00,-115.496864E+00
+374.525E+00,-119.671853E+00
+376.426E+00,-118.878668E+00
+378.327E+00,-116.350941E+00
+380.228E+00,-108.719779E+00
+382.129E+00,-110.946573E+00
+384.030E+00,-116.491972E+00
+385.932E+00,-112.663268E+00
+387.833E+00,-114.155344E+00
+389.734E+00,-113.721607E+00
+391.635E+00,-110.675319E+00
+393.536E+00,-111.015500E+00
+395.437E+00,-108.376724E+00
+397.338E+00,-106.138824E+00
+399.240E+00,-108.222315E+00
+401.141E+00,-110.590556E+00
+403.042E+00,-115.660465E+00
+404.943E+00,-117.637713E+00
+406.844E+00,-105.116574E+00
+408.745E+00,-106.870715E+00
+410.646E+00,-110.789073E+00
+412.548E+00,-108.417183E+00
+414.449E+00,-108.130664E+00
+416.350E+00,-108.423031E+00
+418.251E+00,-110.027624E+00
+420.152E+00,-115.246950E+00
+422.053E+00,-113.218673E+00
+423.954E+00,-112.664935E+00
+425.856E+00,-115.491969E+00
+427.757E+00,-113.413904E+00
+429.658E+00,-118.083385E+00
+431.559E+00,-126.248432E+00
+433.460E+00,-119.249152E+00
+435.361E+00,-119.637934E+00
+437.262E+00,-114.519619E+00
+439.163E+00,-111.554159E+00
+441.065E+00,-112.144726E+00
+442.966E+00,-109.388604E+00
+444.867E+00,-103.388415E+00
+446.768E+00,-98.156976E+00
+448.669E+00,-85.549092E+00
+450.570E+00,-87.533860E+00
+452.471E+00,-97.639245E+00
+454.373E+00,-101.297891E+00
+456.274E+00,-105.007864E+00
+458.175E+00,-111.448790E+00
+460.076E+00,-112.150164E+00
+461.977E+00,-116.596922E+00
+463.878E+00,-115.374856E+00
+465.779E+00,-113.833444E+00
+467.681E+00,-118.092861E+00
+469.582E+00,-108.228713E+00
+471.483E+00,-108.608463E+00
+473.384E+00,-112.062908E+00
+475.285E+00,-111.638931E+00
+477.186E+00,-115.203052E+00
+479.087E+00,-122.542813E+00
+480.989E+00,-118.005423E+00
+482.890E+00,-118.388811E+00
+484.791E+00,-113.357816E+00
+486.692E+00,-112.407965E+00
+488.593E+00,-119.172299E+00
+490.494E+00,-111.642050E+00
+492.395E+00,-113.560142E+00
+494.297E+00,-128.769334E+00
+496.198E+00,-112.077626E+00
+498.099E+00,-109.672345E+00
+500.000E+00,-104.795439E+00
+501.901E+00,-102.701857E+00
+503.802E+00,-108.659831E+00
+505.703E+00,-115.832584E+00
+507.605E+00,-117.433337E+00
+509.506E+00,-133.415860E+00
+511.407E+00,-119.175129E+00
+513.308E+00,-114.559972E+00
+515.209E+00,-110.219071E+00
+517.110E+00,-107.202955E+00
+519.011E+00,-109.721945E+00
+520.913E+00,-115.082126E+00
+522.814E+00,-110.347603E+00
+524.715E+00,-115.473312E+00
+526.616E+00,-127.693160E+00
+528.517E+00,-124.285257E+00
+530.418E+00,-121.699117E+00
+532.319E+00,-124.084991E+00
+534.221E+00,-129.894904E+00
+536.122E+00,-125.886745E+00
+538.023E+00,-111.643579E+00
+539.924E+00,-113.437608E+00
+541.825E+00,-133.359171E+00
+543.726E+00,-111.330659E+00
+545.627E+00,-114.907324E+00
+547.529E+00,-85.374885E+00
+549.430E+00,-81.201974E+00
+551.331E+00,-88.092584E+00
+553.232E+00,-109.128499E+00
+555.133E+00,-109.383419E+00
+557.034E+00,-112.822937E+00
+558.935E+00,-109.662768E+00
+560.837E+00,-112.387145E+00
+562.738E+00,-116.053770E+00
+564.639E+00,-113.177592E+00
+566.540E+00,-117.070154E+00
+568.441E+00,-114.550729E+00
+570.342E+00,-110.535369E+00
+572.243E+00,-115.048685E+00
+574.144E+00,-123.848779E+00
+576.046E+00,-112.456776E+00
+577.947E+00,-112.762947E+00
+579.848E+00,-112.120147E+00
+581.749E+00,-111.868224E+00
+583.650E+00,-138.726430E+00
+585.551E+00,-110.559129E+00
+587.452E+00,-115.118639E+00
+589.354E+00,-118.070437E+00
+591.255E+00,-113.276231E+00
+593.156E+00,-116.343644E+00
+595.057E+00,-118.965761E+00
+596.958E+00,-121.681969E+00
+598.859E+00,-126.520517E+00
+600.760E+00,-112.090790E+00
+602.662E+00,-109.512692E+00
+604.563E+00,-117.362773E+00
+606.464E+00,-111.939852E+00
+608.365E+00,-114.258607E+00
+610.266E+00,-116.290539E+00
+612.167E+00,-111.007193E+00
+614.068E+00,-122.025235E+00
+615.970E+00,-109.905488E+00
+617.871E+00,-107.432111E+00
+619.772E+00,-113.452917E+00
+621.673E+00,-116.921570E+00
+623.574E+00,-118.054538E+00
+625.475E+00,-120.557730E+00
+627.376E+00,-112.783923E+00
+629.278E+00,-113.275784E+00
+631.179E+00,-115.132437E+00
+633.080E+00,-107.098173E+00
+634.981E+00,-108.989994E+00
+636.882E+00,-113.947912E+00
+638.783E+00,-114.426348E+00
+640.684E+00,-122.307988E+00
+642.586E+00,-124.677798E+00
+644.487E+00,-113.818930E+00
+646.388E+00,-94.193539E+00
+648.289E+00,-83.662558E+00
+650.190E+00,-84.518964E+00
+652.091E+00,-99.700807E+00
+653.992E+00,-111.596450E+00
+655.894E+00,-121.196303E+00
+657.795E+00,-112.828635E+00
+659.696E+00,-113.162751E+00
+661.597E+00,-121.097080E+00
+663.498E+00,-114.223613E+00
+665.399E+00,-114.466750E+00
+667.300E+00,-121.546642E+00
+669.202E+00,-115.800965E+00
+671.103E+00,-115.367387E+00
+673.004E+00,-115.099412E+00
+674.905E+00,-111.710446E+00
+676.806E+00,-114.373889E+00
+678.707E+00,-118.430829E+00
+680.608E+00,-112.783518E+00
+682.510E+00,-115.807860E+00
+684.411E+00,-114.210557E+00
+686.312E+00,-112.060357E+00
+688.213E+00,-119.141966E+00
+690.114E+00,-117.635746E+00
+692.015E+00,-117.547673E+00
+693.916E+00,-119.938382E+00
+695.817E+00,-113.203870E+00
+697.719E+00,-111.877417E+00
+699.620E+00,-114.112208E+00
+701.521E+00,-115.898078E+00
+703.422E+00,-114.044572E+00
+705.323E+00,-114.820614E+00
+707.224E+00,-116.003998E+00
+709.125E+00,-118.527555E+00
+711.027E+00,-114.359496E+00
+712.928E+00,-117.245606E+00
+714.829E+00,-121.322988E+00
+716.730E+00,-123.245288E+00
+718.631E+00,-135.252162E+00
+720.532E+00,-130.391944E+00
+722.433E+00,-123.563673E+00
+724.335E+00,-131.242687E+00
+726.236E+00,-116.515913E+00
+728.137E+00,-110.440571E+00
+730.038E+00,-120.392978E+00
+731.939E+00,-118.403409E+00
+733.840E+00,-117.098941E+00
+735.741E+00,-123.315313E+00
+737.643E+00,-121.819558E+00
+739.544E+00,-117.769918E+00
+741.445E+00,-118.227951E+00
+743.346E+00,-114.677843E+00
+745.247E+00,-113.511710E+00
+747.148E+00,-102.369740E+00
+749.049E+00,-96.997802E+00
+750.951E+00,-103.010510E+00
+752.852E+00,-114.763569E+00
+754.753E+00,-120.002560E+00
+756.654E+00,-123.962756E+00
+758.555E+00,-120.580125E+00
+760.456E+00,-124.658884E+00
+762.357E+00,-123.618893E+00
+764.259E+00,-123.008737E+00
+766.160E+00,-119.613258E+00
+768.061E+00,-116.681453E+00
+769.962E+00,-120.085822E+00
+771.863E+00,-124.403334E+00
+773.764E+00,-116.173951E+00
+775.665E+00,-111.242219E+00
+777.567E+00,-117.136604E+00
+779.468E+00,-118.808003E+00
+781.369E+00,-118.435087E+00
+783.270E+00,-120.108973E+00
+785.171E+00,-117.316445E+00
+787.072E+00,-116.413207E+00
+788.973E+00,-115.863982E+00
+790.875E+00,-115.006123E+00
+792.776E+00,-116.333674E+00
+794.677E+00,-113.900086E+00
+796.578E+00,-113.987276E+00
+798.479E+00,-115.823835E+00
+800.380E+00,-115.428673E+00
+802.281E+00,-118.687821E+00
+804.183E+00,-119.321529E+00
+806.084E+00,-116.357715E+00
+807.985E+00,-117.496988E+00
+809.886E+00,-118.468814E+00
+811.787E+00,-117.666864E+00
+813.688E+00,-118.839550E+00
+815.589E+00,-120.539451E+00
+817.490E+00,-124.822466E+00
+819.392E+00,-127.848493E+00
+821.293E+00,-121.362257E+00
+823.194E+00,-117.746419E+00
+825.095E+00,-119.951533E+00
+826.996E+00,-117.658324E+00
+828.897E+00,-116.332138E+00
+830.798E+00,-121.569635E+00
+832.700E+00,-125.799634E+00
+834.601E+00,-125.255707E+00
+836.502E+00,-121.238219E+00
+838.403E+00,-114.785807E+00
+840.304E+00,-111.828505E+00
+842.205E+00,-112.571175E+00
+844.106E+00,-112.917478E+00
+846.008E+00,-100.069117E+00
+847.909E+00,-86.765134E+00
+849.810E+00,-87.265307E+00
+851.711E+00,-102.270258E+00
+853.612E+00,-115.825001E+00
+855.513E+00,-123.210458E+00
+857.414E+00,-120.900263E+00
+859.316E+00,-116.351190E+00
+861.217E+00,-119.503031E+00
+863.118E+00,-117.594508E+00
+865.019E+00,-115.666691E+00
+866.920E+00,-117.055957E+00
+868.821E+00,-115.273110E+00
+870.722E+00,-118.108566E+00
+872.624E+00,-120.233460E+00
+874.525E+00,-121.118117E+00
+876.426E+00,-123.101494E+00
+878.327E+00,-122.275095E+00
+880.228E+00,-122.059179E+00
+882.129E+00,-119.401786E+00
+884.030E+00,-114.630913E+00
+885.932E+00,-113.432072E+00
+887.833E+00,-120.605780E+00
+889.734E+00,-125.255368E+00
+891.635E+00,-122.943213E+00
+893.536E+00,-123.495574E+00
+895.437E+00,-123.930000E+00
+897.338E+00,-121.152366E+00
+899.240E+00,-116.018914E+00
+901.141E+00,-112.700343E+00
+903.042E+00,-114.942165E+00
+904.943E+00,-115.242107E+00
+906.844E+00,-113.776686E+00
+908.745E+00,-117.498409E+00
+910.646E+00,-124.824864E+00
+912.548E+00,-128.065753E+00
+914.449E+00,-121.154112E+00
+916.350E+00,-113.650716E+00
+918.251E+00,-116.730951E+00
+920.152E+00,-120.443656E+00
+922.053E+00,-118.926872E+00
+923.954E+00,-118.087167E+00
+925.856E+00,-115.306418E+00
+927.757E+00,-118.590193E+00
+929.658E+00,-126.485575E+00
